ticker,ex_date,dividend_rate,car,n_valid_days
LFIN,2023-04-25,2.0,-0.03447145190740397,11
GLAS,2023-07-20,1.66,-0.11504279090660541,11
ONAL,2023-05-09,2.3,-0.08119942819560444,9
MAL,2023-06-26,0.16,-0.1298947821007722,7
MAL,2023-06-26,0.16,-0.1298947821007722,7
EXT,2023-05-17,0.4,0.014874449679686874,11
CHL,2023-05-22,2.3,0.02029775398045497,5
CHL,2023-05-22,2.3,0.02029775398045497,5
CARG,2023-05-26,8.5,-0.01605973577409814,10
CTHR,2023-05-26,6.0,0.012378424245930164,7
DIPD,2023-06-28,0.5,0.03471897657549483,11
HAYC,2023-07-04,1.0,0.01585586274533557,11
KVAL,2023-06-27,1.5,-0.04609108930281214,11
MGT,2023-06-26,0.1,0.009120920169802704,11
CCS,2023-05-30,0.44,0.05748904275774147,11
ELPL,2023-05-30,19.0,-0.31177182756324406,11
KFP,2023-05-30,0.5,-0.011089450685075941,9
LION,2023-05-30,28.3,-0.003183633129617336,9
BOPL,2023-05-31,1.5,-0.0005453060790562292,10
HOPL,2023-07-04,1.0,0.02633356823745392,11
JKH,2023-06-01,0.5,0.011294297854790303,11
CHMX,2023-07-04,2.5,0.028713405429113825,10
HHL,2023-07-04,1.95,-0.016693991171628952,11
JINS,2023-06-01,2.65,-0.0024367430033290782,11
CIC,2023-07-04,2.5,-0.023354185948397554,11
CIC,2023-07-04,2.5,-0.023354185948397554,11
SUN,2023-06-26,1.15,0.0502567736412417,11
PLR,2023-06-06,1.0,-0.10255639398889493,11
SIL,2023-06-06,2.0,-0.018903037115859833,6
ASHO,2023-08-14,5.0,0.022432103201886266,9
CIND,2023-07-04,3.0,0.0755192172926279,11
HARI,2023-06-07,20.0,0.3743340138570431,5
SPEN,2023-07-04,4.0,-0.0022278746303372454,11
LWL,2023-07-04,0.9,0.04097044837825059,11
PARQ,2023-07-04,0.2,0.1272023209101093,11
TILE,2023-07-04,1.1,0.06894045134394033,11
ASIY,2023-06-09,0.35,-0.1311066485094654,11
CARE,2023-06-09,3.5,-0.13910726562012465,11
DIMO,2023-06-12,10.0,0.050266587810400165,11
CFIN,2023-07-04,1.75,0.011512061214607572,11
LFIN,2023-07-04,3.0,-0.02546670064630796,11
RCL,2023-07-04,0.5,0.07615439450483885,11
CDB,2023-08-03,5.0,-0.07006280639961215,10
CDB,2023-08-03,5.0,-0.07006280639961215,10
JAT,2023-06-19,0.49,-0.007261124263229668,11
LIOC,2023-07-04,4.0,-0.030871912042966576,11
