date,transaction_type,investor_type,value
2024-06-03,net,Foreign Companies,-1085276582.0
2024-07-03,net,Foreign Companies,3111413716.0
2024-08-03,net,Foreign Companies,91361595.0
2024-09-03,net,Foreign Companies,-418239001.0
2024-10-03,net,Foreign Companies,-284285375.0
2024-11-03,net,Foreign Companies,-2670127415.0
2024-12-03,net,Foreign Companies,-308609529.0
2025-01-03,net,Foreign Companies,-7089026978.0
2025-02-03,net,Foreign Companies,-2162192493.0
2025-03-03,net,Foreign Companies,-988000317.0
2025-04-03,net,Foreign Companies,899794432.0
2025-05-03,net,Foreign Companies,589054632.0
2025-06-03,net,Foreign Companies,-1666097685.0
2025-07-03,net,Foreign Companies,-5647192130.0
2025-08-03,net,Foreign Companies,-4720608338.0
2025-09-03,net,Foreign Companies,-2238861998.0
2025-10-03,net,Foreign Companies,-5923804923.0
2025-11-03,net,Foreign Companies,-3503113924.0
2025-12-03,net,Foreign Companies,-1994823492.0
1992-01-01,net,Foreign Individuals,-1444638.0
1992-02-01,net,Foreign Individuals,-190340.0
1992-03-01,net,Foreign Individuals,3899706.0
1992-04-01,net,Foreign Individuals,-7846642.0
1992-05-01,net,Foreign Individuals,7710865.0
1992-06-01,net,Foreign Individuals,3218733.0
1992-07-01,net,Foreign Individuals,708335.0
1992-08-01,net,Foreign Individuals,-52716143.0
1992-09-01,net,Foreign Individuals,-12355590.0
1992-10-01,net,Foreign Individuals,-26794059.0
1992-11-01,net,Foreign Individuals,2458360.0
1992-12-01,net,Foreign Individuals,-7360881.0
1993-01-01,net,Foreign Individuals,12964865.0
1993-02-01,net,Foreign Individuals,7158617.0
1993-03-01,net,Foreign Individuals,-17267482.0
1993-04-01,net,Foreign Individuals,-7910968.0
1993-05-01,net,Foreign Individuals,1380522.0
1993-06-01,net,Foreign Individuals,3532781.0
1993-07-01,net,Foreign Individuals,-12035550.0
1993-08-01,net,Foreign Individuals,-19278254.0
1993-09-01,net,Foreign Individuals,10798424.0
1993-10-01,net,Foreign Individuals,4014724.0
1993-11-01,net,Foreign Individuals,-23073689.0
1993-12-01,net,Foreign Individuals,-21425953.0
1994-01-01,net,Foreign Individuals,-84679228.0
1994-02-01,net,Foreign Individuals,-56022610.0
1994-03-01,net,Foreign Individuals,39917363.0
1994-04-01,net,Foreign Individuals,-28703345.0
1994-05-01,net,Foreign Individuals,-11178939.0
1994-06-01,net,Foreign Individuals,1508988.0
1994-07-01,net,Foreign Individuals,4189643.0
1994-08-01,net,Foreign Individuals,100283.0
1994-09-01,net,Foreign Individuals,16541436.0
1994-10-01,net,Foreign Individuals,16851655.0
1994-11-01,net,Foreign Individuals,11107386.0
1994-12-01,net,Foreign Individuals,5749326.0
1995-01-01,net,Foreign Individuals,11941340.0
1995-02-01,net,Foreign Individuals,6670165.0
1995-03-01,net,Foreign Individuals,5512900.0
1995-04-01,net,Foreign Individuals,-5502770.0
1995-05-01,net,Foreign Individuals,177579.0
1995-06-01,net,Foreign Individuals,-3049849.0
1995-07-01,net,Foreign Individuals,-10619957.0
1995-08-01,net,Foreign Individuals,8671680.0
1995-09-01,net,Foreign Individuals,-10097096.0
1995-10-01,net,Foreign Individuals,1525810.0
1995-11-01,net,Foreign Individuals,-1269288.0
1995-12-01,net,Foreign Individuals,18538037.0
1996-01-01,net,Foreign Individuals,2719903.0
1996-02-01,net,Foreign Individuals,5422205.0
1996-03-01,net,Foreign Individuals,-1306847.0
1996-04-01,net,Foreign Individuals,3401548.0
1996-05-01,net,Foreign Individuals,3348198.0
1996-06-01,net,Foreign Individuals,2194920.0
1996-07-01,net,Foreign Individuals,2322149.0
1996-08-01,net,Foreign Individuals,2046897.0
1996-09-01,net,Foreign Individuals,-12575280.0
1996-10-01,net,Foreign Individuals,1513921.0
1996-11-01,net,Foreign Individuals,-25561007.0
1996-12-01,net,Foreign Individuals,15540808.0
1997-01-01,net,Foreign Individuals,4353295.0
1997-02-01,net,Foreign Individuals,-22583800.0
1997-03-01,net,Foreign Individuals,4671151.0
1997-04-01,net,Foreign Individuals,142123076.0
1997-05-01,net,Foreign Individuals,-277131.0
1997-06-01,net,Foreign Individuals,-9143767.0
1997-07-01,net,Foreign Individuals,8840715.0
1997-08-01,net,Foreign Individuals,-25804586.0
1997-09-01,net,Foreign Individuals,-26201445.0
1997-10-01,net,Foreign Individuals,42327888.0
1997-11-01,net,Foreign Individuals,-358001.0
1997-12-01,net,Foreign Individuals,-1168444.0
1998-01-01,net,Foreign Individuals,-55429956.0
1998-02-01,net,Foreign Individuals,15275183.0
1998-03-01,net,Foreign Individuals,-166622.0
1998-04-01,net,Foreign Individuals,-14608291.0
1998-05-01,net,Foreign Individuals,147027.0
1998-06-01,net,Foreign Individuals,10143953.0
1998-07-01,net,Foreign Individuals,2431147.0
1998-08-01,net,Foreign Individuals,-848518.0
1998-09-01,net,Foreign Individuals,-2588678.0
1998-10-01,net,Foreign Individuals,705134.0
1998-11-01,net,Foreign Individuals,-5885347.0
1998-12-01,net,Foreign Individuals,-708135.0
1999-01-01,net,Foreign Individuals,-19743.0
1999-02-01,net,Foreign Individuals,5028432.0
1999-03-01,net,Foreign Individuals,167230.0
1999-04-01,net,Foreign Individuals,1357533.0
1999-05-01,net,Foreign Individuals,23092297.0
1999-06-01,net,Foreign Individuals,18204859.0
1999-07-01,net,Foreign Individuals,387273224.0
1999-08-01,net,Foreign Individuals,-5025709.0
1999-09-01,net,Foreign Individuals,-7699763.0
1999-10-01,net,Foreign Individuals,2654873.0
1999-11-01,net,Foreign Individuals,-1321774.0
1999-12-01,net,Foreign Individuals,3588893.0
2000-01-01,net,Foreign Individuals,-10708587.0
2000-02-01,net,Foreign Individuals,2906558.0
2000-03-01,net,Foreign Individuals,7067570.0
2000-04-01,net,Foreign Individuals,5449014.0
